name,eur,PRODUCTS,BUYER
United Kingdom,7640275.968,"Cellebrite Premium platform for 10 tools in 10 districts and the headquarters. Cellebrite Premium continues to support our Three-Tier digital forensic operating model by the provision of 10 tools located in DF hubs as well as at Lambeth HQ. It is still one of the only commercial tools on the market able to access, decode and extract data from both IOS and Android devices. Going forward Cellebrite will also include analysis capabilities. one year extension",Metropolitan Police Service - The Mayor's Office for Policing And Crime
United Kingdom,6366896.64,Digital Forensic Tool Enterprise - Agreement for unlocking,Metropolitan Police Service
France,5091707,4 years framework contract for data extraction systems: Fourniture d'équipements informatiques et électroniques forensiques et de lutte contre la cybercriminalité - Systèmes d’extraction et d’exploitation de données provenant de supports mobiles,National Police - Ministère de l'Intérieur
United Kingdom,4262478.269,Cellebrite Software Licences Subscription Renewal,Scottish Police Authority
Germany,4201680.6,4-year framework agreeement for forensic products,Police of Saxony-Anhalt - Police Inspection Central Services Saxony-Anhalt
Belgium,3996041.5,"Licenses for Cellebrite Inseyets- LOT-0006: Title: 2026R3019 - 6- Software forensique « Inseyets » de Cellebrite pour l’extraction, l’analyse et la gestion de données provenant d’appareils mobiles (GSM, smartphone, GPS)
Description: Software forensique « Inseyets » de Cellebrite Cellebrite “Inseyets” forensic software for extracting, analysing and managing data from mobile devices (mobile phones, smartphones, GPS devices).",Federal Police
Denmark,2817000,Framework Agreement for Forensic Software for Mobile Devices,National Police - Rigspolitiet
Italy,2739995,"Purchase and renewal of licenses for Cellebrite UFED 4PC, Cloud Analyzer, Digital Collector, Digital Inspector - The supply consists of the acquisition of the following goods and/or services, together with the related services:

1. Postal and Communications Police Service of the Central Directorate for Road, Railway and Communications Police and Special Units

**Renewals:**

* 23 (twenty-three) renewals of UFED 4PC Ultimate Subscription licenses, including software release updates;
* 1 (one) renewal of Digital Collector Subscription;
* 1 (one) renewal of Inspector Subscription;
* 2 (two) renewals of UFED Touch2 Ultimate Subscription.

**Additional acquisitions:**

* 15 (fifteen) UFED 4PC Ultimate Subscription licenses with hardware kits;
* 6 (six) UFED Touch3 Ultimate Subscription packages (software and hardware);
* 1 (one) Cellebrite Premium Unlimited platform for Android and iOS mobile phones, including the Premium System and a full software maintenance and remote technical support license;
* 1 (one) Digital Collector subscription;
* 1 (one) Inspector subscription.

### 2. Traffic Police Service of the Central Directorate for Road, Railway and Communications Police and Special Units

**Renewals:**

* 5 (five) renewals of UFED 4PC Ultimate Subscription licenses, including software release updates.

### 3. General Affairs and Information Service of the Central Directorate for Prevention Police

**Renewals:**

* 3 (three) renewals of UFED 4PC Ultimate Subscription licenses, including software release updates;
* 1 (one) Digital Collector subscription and related tablet.

**Additional acquisitions:**

* 24 (twenty-four) UFED 4PC Ultimate Subscription licenses with hardware kits.

### 4. Central Operations Service of the Central Anti-Crime Directorate

**Renewals:**

* 20 (twenty) renewals of UFED 4PC Ultimate Subscription licenses, including software release updates.

### 5. Forensic Police Service of the Central Anti-Crime Directorate

**Renewals:**

* 2 (two) renewals of UFED 4PC Ultimate licenses, including software release updates;
* 1 (one) renewal of Digital Collector Subscription;
* 1 (one) renewal of Inspector Subscription;
* 1 (one) renewal of Cloud Analyzer Subscription Subscription.
",State Police - Ministry of Interior
France,2134132,"4 years framework contract for data extraction systems for the Police, Gendarmerie, Customs and the Directorate for Security and Defence Cooperation. Le présent accord-cadre a pour objet les mises à jour et les migrations concernant les parcs existants de systèmes d'extraction et d'analyse de données téléphoniques "" Cellebrite "" pour les besoins de la Gendarmerie Nationale, la Police Nationale, la Douane et la Direction de la Coopération de Sécurité et de Défense. L'accord-cadre est passé pour une durée de 4 ans.",National Police - Ministère de l'Intérieur
Spain,1773238.1,Purchase of data extraction software - Adquisición de software avanzado forense de extracción de datos móviles cellebrite para la DGP.,National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
