startCountry,Agency (1),Agency (2),Date of signature,Entry into force,Type,Title,Purpose,Types of data exchanged,Other,Link/Source (1),Link/Source (2),startLng,startLat,endCountry,endLat,endLng,n
United States,Terrorist Screening Center,Antiterrorism Directorate,2016-04-14,2016-09-14,Terrorist screening information,Agreement for the Exchange of Terrorism Screening Information,The purpose of this Agreement is to promote the exchange of Terrorism Screening Information for the sole purpose of enhancing effective counterterrorism efforts.,"Terrorism screening information, Background information, Derogatory information",NA,https://statewcloud.gn.apc.org/index.php/s/6tbcWsXEx5jkzyZ,NA,-103.62956281697637,44.74373159693697,Albania,41.13487369444026,20.051845902713218,1
United States,Terrorist Screening Center,Andorra Police Department,2013-11-01,NA,Terrorist screening information,Arrangement between the Terrorist Screening Center and the Andorra Police Department on the Implementation Procedures for the Exchange of Terrorism Screening Information,"""to protect against acts of terrorism in accordance with
the domestic laws and regulations of the Government of the Principality of Andorra The mutual view is that this sharing of screening information will add to the mutual efforts to protect the national security both the United States of America and the Principality of Andorra""",Terrorism screening information,Required under Visa Waiver Programme but no public text available,https://statewcloud.gn.apc.org/index.php/s/yCBM46Pa7ja96nm,NA,-103.62956281697637,44.74373159693697,Andorra,42.542286405759114,1.5605246912744462,1
United States,Department of Homeland Security,NA,NA,NA,Law enforcement,Agreement on Preventing and Combating Serious Crime,Required under US Visa Waiver Programme but no public text available,Required under US Visa Waiver Programme but no public text available,Required under US Visa Waiver Programme but no public text available,NA,NA,-103.62956281697637,44.74373159693697,Andorra,42.542286405759114,1.5605246912744462,2
United States,NA,NA,2016-03-23,2016-03-23,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"The purpose of this Agreement is to enhance the cooperation between the Parties in preventing and combating serious crime. The querying powers provided for under this· Agreement shall be used only for prevention, detection and investigation of serious crime, defined as an offense punishable by, at a minimum, a maximum deprivation of liberty of more than one year or a more serious penalty under Argentine or US law.","Fingerprints, DNA, Other personal data, Other non-personal data",NA,https://statewcloud.gn.apc.org/index.php/f/324641,NA,-103.62956281697637,44.74373159693697,Argentina,-34.68398767001526,-64.7626148959143,1
United States,NA,NA,2018-04-18,2019-03-14,Visa information,Agreement for the Sharing of Visa Information,"The purpose of this Agreement is to assist in the effective administration and enforcement of the respective immigration laws of the Parties regarding Nationals ofa Third Country who are the subjects of Information by: (i) Facilitating a Party's determination ofthe validity ofa visa; and (ii) Furthering the prevention, detection, or investigation of acts that would constitute a crime under the laws ofthe Party providing the Information.","Information on the identity of US visa-holders, information on the validity and status of the US visa",NA,https://statewcloud.gn.apc.org/index.php/s/qM2RDMPDQM2zfb3,NA,-103.62956281697637,44.74373159693697,Argentina,-34.68398767001526,-64.7626148959143,2
United States,Secret Service,Federal Police,2023-11-02,NA,Law enforcement,Memorandum of Understanding on Combating Transnational Crime,"As part of the MOU, the agencies agree to engage in cooperative activities such as coordinated operations, sharing information on law enforcement matters, strengthening, and consolidating existing cooperative networks, and providing each other with capacity building and professional development assistance. These activities could take the form of consultations, training, intelligence sharing, and operational support, among others.",No public text of the agreement available,NA,https://statewcloud.gn.apc.org/index.php/s/aTSik55rWX7bDCz,NA,-103.62956281697637,44.74373159693697,Australia,-25.764181553647255,134.30382913017814,1
United States,NA,NA,NA,NA,Law enforcement,Agreement on Preventing and Combating Serious Crime,Required under Visa Waiver Programme but no public information available,Required under Visa Waiver Programme but no public information available,Required under Visa Waiver Programme but no public information available,NA,NA,-103.62956281697637,44.74373159693697,Australia,-25.764181553647255,134.30382913017814,2
United States,NA,NA,2014-08-27,NA,Visa and immigration information,Agreement for the Sharing of Visa and Immigration Information,"Assist in the administration and enforcement of the respective immigration laws of the Parties by: Using Information in order to enforce or adminster the respective immigration laws of the Parties; Furthering the prevention, detection or investigation of acts that would constitute a crime rendering an individual inadmissible or removable under the laws of the Party providing the Information; Facilitating a Party's determination of eligibility for a visa, admission, or other immigration benefit, or of whether there are grounds for removal","Data collected, maintained or generated on Nationals of a Third Country, and Nationals, including citizens, of the Parties pursuant to the provisions of Article 2(C) and 2(D), seeking authorization to travel to, work in, or live in Australia and the United States, and other immigration-related data, including data pertaining to visa, admissibility or immigration compliance actions and/or decisions rendered in accordance with or relevant to the immigration laws of the respective Parties. Information may include personal data, statistical data, or both.",NA,https://statewcloud.gn.apc.org/index.php/s/xGqAnH6j9xd4BMm,NA,-103.62956281697637,44.74373159693697,Australia,-25.764181553647255,134.30382913017814,3
United States,Department of Homeland Security,Department of Immigration and Border Protection of Australia,2015-09-09,NA,Visa and immigration information,"Implementing Arrangement between the Department of Immigration and Border Protection of Australia, on the One Side, and the Department of State and the Department of Homeland Security of the United States of America, on the Other Side, concerning the sharing of visa and immigration information (Implementing Arrangement).","The Implementing Arrangement establishes guidelines for vetting biometric (and associated biographic) information for visa applications and immigration matters against the other Participant’s appropriate biometric repositories through an automated process in the following manner:
• Expanding existing biometric information sharing of asylum claimants;
• Expanding biometric information sharing to include overseas refugees applying for resettlement to either country, in accordance with domestic and international obligations; and
• Implementing a systematic and automated sharing capability to support admissibility screening of visa-required third-country nationals, and in support of other administrative and enforcement actions.","Fingerprints, biographic data",NA,https://statewcloud.gn.apc.org/index.php/s/eMGMpL7wdXLaDZH,NA,-103.62956281697637,44.74373159693697,Australia,-25.764181553647255,134.30382913017814,4
United States,NA,NA,2010-11-15,2012-05-04,Law enforcement,Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"Article 2 - Purpose and Scope of this Agreement
1. The purpose of this Agreement is to enhance the cooperation between the United States of America and the Republic of Austria in preventing and combating serious cnme.
2. The querying powers provided for under this Agreement (Articles 4 and 7) shall be used only for the prevention, detection and investigation of a serious crime as defined in Article 1 paragraph 7 and only if particular and legally valid circumstances relating to a specific individual give a reason to inquire whether that individual will commit or has committed such a serious crime.","Fingerprint data, DNA data, biographic data, other personal data",NA,https://www.state.gov/12-504-1,NA,-103.62956281697637,44.74373159693697,Austria,47.59229344198097,14.110430068197674,1
