donors,user_country,systems,donation_amount,date_of_agreement,entry_into_operation,end_of_operation,status_functionality
US,Kenya,ATS-G,,2018,,,"Unclear: ""the passage of a data protection law in 2019 has delayed implementation of ATS-G"""
US,Panama,ATS-G,,,,,"MIDAS appears to be under implementation, based on job postings in 2022."
US,CARICOM IMPACS,ATS-G,$1 million,2018,,,Shared to multiple countries bia CARICOM IMPACS
US,Afghanistan,PISCES,"US: $ amount unknown, provided PISCES system, covered by FY 2017 TIP funding.",,2012,,
US,Albania,PISCES,"US: $ amount unknown, provided PISCES system.",,2020,,
US,Azerbaijan,PISCES,"US: $ amount unknown, provided PISCES system + funded refurbishments.",,,2007 (uncertain),
US,Bosnia and Herzegovina,PISCES,"US: $ amount unknown, provided PISCES system.",2019 (uncertain),,,
US,Burkina Faso,PISCES,"US: $ amount unknown, provided PISCES system.",,,,PISCES may not be functional
US,Cambodia,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Cameroon,PISCES,"US: $ amount unknown, provided PISCES system.",,2016,,
US,Chad,PISCES,"US: $ amount unknown, provided PISCES system.",,2013,,
US,Colombia,PISCES,"US: $ amount unknown, provided PISCES system.",2022,,,
US,Comoros,PISCES,"US: $ amount unknown, provided PISCES system.",2015,,,
US,Côte d'Ivoire,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Democratic Republic of the Congo,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Djibouti,PISCES,"US: $ amount unknown (at least $500,000 proposed in leaked memo), provided PISCES system + funded refurbishments",,2015,,
US,Ecuador,PISCES,"US: $ amount unknown, provided PISCES system + funded refurbishments.",2019 (uncertain),,,
US,Ethiopia,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Ghana,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Guinea,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Iraq,PISCES,"US: $ amount unknown, provided PISCES system.",,~2003,,PISCES entered into operation at some point early in US occupation
US,Jordan,PISCES,"US: $ amount unknown, provided PISCES system.",,,,"PISCES may be unofficial usage. US country reports on terrorism 2016: ""Jordanian authorities continued to use the U.S.-provided Personal Identification Secure Comparison and Evaluation System (PISCES) at unofficial border crossing sites along the Syrian border to complement the border screening system at official POE""."
US,Kenya,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
"US (via ICITAP), EU (via EULEX)",Kosovo,PISCES,"US: $ amount unknown, provided PISCES system.",,2009,2012 (uncertain),Unclear -- PISCES may have been replaced by EU-funded BMS.  Wikileaks / Cablegate docs suggest there was confusion at highest levels about whether EU system would replace PISCES or work alongside it. Seems EU were concerned about ensuring compliance with EU law. Result is not clear.
US,Madagascar,PISCES,"US: $500,000",,2016,,
US (uncertain),Malaysia,PISCES,,,2013,,
US,Maldives,PISCES,"US: $ amount unknown, provided PISCES system.",,2016 (uncertain),,
US,Mali,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Malta,PISCES,"US: $ amount unknown, provided PISCES system.",2004,,,
US,Mauritania,PISCES,"US: $ amount unknown, provided PISCES system.",2022,,,
US,Nicaragua,PISCES,"US: $ amount unknown, provided PISCES system.",,2005,,PISCES mentioned in US govt report; apparently there were issues during installation
US,Niger,PISCES,"US: $3 million (for upgraded facilities, MIDAS/PISCES interoperability), provided PISCES system",,,,
US,Nigeria,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,North Macedonia,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Panama,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Pakistan,PISCES,"US: >$38mil, provided PISCES system.",,2002,2011 (uncertain),
US,Somalia,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,South Sudan,PISCES,"US: $ amount unknown, provided PISCES system.",,,,
US,Sudan,PISCES,"US: $ amount unknown, provided PISCES system + funded refurbishments.",,,,
US,Tanzania,PISCES,"US: $ amount unknown, provided PISCES system.",,,,"Wikileaks doc dated June 2007 claims ""Tanzania Request to US: Please Don Abandon PISCES "". Says not enough funding to maintain."
US,Thailand,PISCES,"US: $ amount unknown, provided PISCES system + funded refurbishments.",,,,US govt reports claim that the Thai govt has replaced PISCES at several key ports with own properietary software (~2012)
US,Trinidad and Tobago,PISCES,"US: $ amount unknown, provided PISCES system + funded refurbishments.",2017,2017/2018 (uncertain),,
